term,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,17.34761221918927,2.991007615892546,5.799922449884024,6.63455947381686e-09,11.485345014554866,23.209879423823672
C(treatment)[T.B],3.760979342493098,0.7933571744402126,4.740587800377327,2.1309908060012103e-06,2.2060278537138203,5.315930831272376
C(treatment)[T.C],7.906563205387327,0.8723423547813697,9.063601190577184,1.262132248985535e-19,6.19680360782698,9.616322802947673
C(site)[T.South],-3.1662360168986083,0.6998817554996201,-4.523958500158856,6.0693630077754434e-06,-4.537979051114531,-1.7944929826826852
age,0.25740258769664104,0.042126100005585504,6.110287628394558,9.945173789554517e-10,0.17483694887656087,0.3399682265167212
baseline,0.5384704823268216,0.026856849452906575,20.049651887539095,2.032623611035599e-89,0.48583202466091047,0.5911089399927327
